Date,Open,High,Low,Close,Volume,Adj Close
20150617 09:14:00.100,5092.0,5092.0,5092.0,5092.0,209,5092.0
20150617 09:15:00.100,5094.0,5094.0,5094.0,5094.0,271,5094.0
20150617 09:15:00.600,5095.0,5095.0,5095.0,5095.0,592,5095.0
20150617 09:15:01.100,5097.6,5097.6,5097.6,5097.6,844,5097.6
20150617 09:15:01.600,5094.8,5094.8,5094.8,5094.8,1095,5094.8
20150617 09:15:02.100,5094.2,5094.2,5094.2,5094.2,1426,5094.2
20150617 09:15:02.600,5093.6,5093.6,5093.6,5093.6,1610,5093.6
20150617 09:15:03.100,5092.4,5092.4,5092.4,5092.4,1880,5092.4
20150617 09:15:03.600,5092.0,5092.0,5092.0,5092.0,2121,5092.0
20150617 09:15:04.100,5092.0,5092.0,5092.0,5092.0,2368,5092.0
20150617 09:15:04.600,5092.2,5092.2,5092.2,5092.2,2605,5092.2
20150617 09:15:05.100,5092.0,5092.0,5092.0,5092.0,2700,5092.0
20150617 09:15:05.600,5091.0,5091.0,5091.0,5091.0,2886,5091.0
20150617 09:15:06.100,5089.0,5089.0,5089.0,5089.0,3000,5089.0
20150617 09:15:06.600,5089.4,5089.4,5089.4,5089.4,3169,5089.4
20150617 09:15:07.100,5089.6,5089.6,5089.6,5089.6,3304,5089.6
20150617 09:15:07.600,5090.0,5090.0,5090.0,5090.0,3396,5090.0
20150617 09:15:08.100,5092.6,5092.6,5092.6,5092.6,3559,5092.6
20150617 09:15:08.600,5093.6,5093.6,5093.6,5093.6,3647,5093.6
20150617 09:15:09.100,5092.6,5092.6,5092.6,5092.6,3859,5092.6
20150617 09:15:09.600,5093.0,5093.0,5093.0,5093.0,3903,5093.0
20150617 09:15:10.100,5092.8,5092.8,5092.8,5092.8,3982,5092.8
20150617 09:15:10.600,5090.0,5090.0,5090.0,5090.0,4025,5090.0
20150617 09:15:11.100,5091.0,5091.0,5091.0,5091.0,4092,5091.0
20150617 09:15:11.600,5090.0,5090.0,5090.0,5090.0,4185,5090.0
20150617 09:15:12.100,5091.2,5091.2,5091.2,5091.2,4230,5091.2
20150617 09:15:12.600,5090.0,5090.0,5090.0,5090.0,4273,5090.0
20150617 09:15:13.100,5090.2,5090.2,5090.2,5090.2,4335,5090.2
20150617 09:15:13.600,5090.0,5090.0,5090.0,5090.0,4361,5090.0
20150617 09:15:14.100,5090.0,5090.0,5090.0,5090.0,4398,5090.0
20150617 09:15:14.600,5089.8,5089.8,5089.8,5089.8,4507,5089.8
20150617 09:15:15.100,5089.0,5089.0,5089.0,5089.0,4554,5089.0
20150617 09:15:15.600,5088.8,5088.8,5088.8,5088.8,4604,5088.8
20150617 09:15:16.100,5088.4,5088.4,5088.4,5088.4,4666,5088.4
20150617 09:15:16.600,5087.8,5087.8,5087.8,5087.8,4702,5087.8
20150617 09:15:17.100,5086.8,5086.8,5086.8,5086.8,4784,5086.8
20150617 09:15:17.600,5087.2,5087.2,5087.2,5087.2,4880,5087.2
20150617 09:15:18.100,5087.0,5087.0,5087.0,5087.0,4949,5087.0
20150617 09:15:18.600,5087.0,5087.0,5087.0,5087.0,5010,5087.0
20150617 09:15:19.100,5087.0,5087.0,5087.0,5087.0,5067,5087.0
20150617 09:15:19.600,5086.4,5086.4,5086.4,5086.4,5098,5086.4
20150617 09:15:20.100,5086.4,5086.4,5086.4,5086.4,5156,5086.4
20150617 09:15:20.600,5085.8,5085.8,5085.8,5085.8,5212,5085.8
20150617 09:15:21.100,5085.8,5085.8,5085.8,5085.8,5262,5085.8
20150617 09:15:21.600,5086.2,5086.2,5086.2,5086.2,5323,5086.2
20150617 09:15:22.100,5085.6,5085.6,5085.6,5085.6,5431,5085.6
20150617 09:15:22.600,5084.8,5084.8,5084.8,5084.8,5472,5084.8
20150617 09:15:23.100,5085.2,5085.2,5085.2,5085.2,5542,5085.2
20150617 09:15:23.600,5084.6,5084.6,5084.6,5084.6,5629,5084.6
20150617 09:15:24.100,5083.6,5083.6,5083.6,5083.6,5670,5083.6
20150617 09:15:24.600,5082.4,5082.4,5082.4,5082.4,5720,5082.4
20150617 09:15:25.100,5082.2,5082.2,5082.2,5082.2,5762,5082.2
20150617 09:15:25.600,5082.0,5082.0,5082.0,5082.0,5818,5082.0
20150617 09:15:26.100,5082.2,5082.2,5082.2,5082.2,5869,5082.2
20150617 09:15:26.600,5083.2,5083.2,5083.2,5083.2,5919,5083.2
20150617 09:15:27.100,5083.8,5083.8,5083.8,5083.8,6009,5083.8
